광물이름,보고서 내용,날짜
철광석,중국 탕산시 환경규제 강화에 따른 상승세 중국 탕산시는 대기질 오염방지를 위해 1월8일부터 14일까지 제강사들의 소결공정을 제한하는 긴급조치를 발표함에 따라 철강재 공급차질 우려에 따른 가격상승압력이 발생함,201901
우라늄,"박스권횡보에 따라 전주대비 상승(3주연속) 우라늄 가격은 작년 11월이후 파운드당 28~29달러 수준에서 보합권을 유지중이며, 3주연속 가격상승세가 나타남",201901
"동,니켈,아연","유가상승 및 공급이슈에 따른 상승세 중국의 지급준비율 인하 등을 통한 확장적 경제정책 운영과 함께 국제유가 상승세 및 광종별 공급차질 우려에 따른 가격상승압력이 발생함. 1월3주차 국제유가(WTI)는 배럴당 52.07달러로 전주대비 0.9% 상승하면서 3주연속 상승세를 유지함에 따라 원자재 가격상승을 견인함. 다만, No Deal 브렉시트 리스크가 부상하면서 위험자산 투자기피가 확대될 가능성이 있는 상황임. 전기동은 중국의 스크랩 수입규제로 인해 동 수입량이 반사적으로 증가하고 있는데, `18년 중국의 미가공 동 수입량은 530만톤으로 전년대비 12.9% 증가함. 또한 인도네시아의 Grasberg 광산의 갱내채굴 전환기간으로 생산차질이 예상되면서 공급차질 우려가 심화됨. 니켈은 Eramet사의 자회사 SLN사의 뉴칼레도니아 Tiebaghi, Thio, Nepoui 등 3개광산 노조가 근로조건 악화를 이유로 1월중 파업에 돌입함에 따라 공급차질에 따른 상승압력이 심화됨. 또한 1월3주차 LME 니켈 평균재고량이 200천톤으로 전주대비 1.7% 감소했으며, `18년5월중순부터 연속적으로 감소하는 등 수급상황이 타이트해지는 상황임",201901
유연탄,"유가상승 및 주요국 석탄수입 증가에 따른 상승세 국제유가 상승과 함께 중국과 인도의 석탄수입이 증가함에 따라 상승압력이 발생함. `18년 중국의 석탄수입량은 2억8천만톤으로 전년대비 4% 증가했으며, 인도의 1~11월 석탄수입량은 2억792만톤으로 전년동기대비 16.3% 증가함에 따라 가격상승을 견인함. 또한 중국의 Shaanxi성 Lijiagou광산붕괴 사고로 21명이 사망하면서 1억톤 생산능력의 인근 탄광들도 가동중지명령을 받음에 따라 공급차질이 불가피할 전망임",201901
철광석,호주 철광석 수출차질에 따른 상승세 호주의 철광석 주요 수출항구인 Cape Lambert(철광석 연간 선적능력 2.05억톤)에서 화재사고가 발생하면서 Rio Tinto사가 수출 불가항력을 선언하는 등 공급차질에 따른 상승압력이 발생함,201901
우라늄,"박스권횡보에 따라 전주대비 소폭하락 우라늄 가격은 작년 11월이후 파운드당 28~29달러 수준에서 박스권 횡보중이며, 3주연속 오름세를 마치고 전주대비 0.03% 소폭 하락함",201901
"동,니켈,아연","유가상승 및 공급이슈에 따른 상승세 중국의 경기지표 부진 및 미 연방정부 셧다운 장기화에 따른 금융시장 불안으로 하방리스크가 부각되었으나, 국제유가 상승세 지속과 광종별 공급이슈로 비철금속지수는 전주대비 1.9% 소폭의 상승세를 나타냄. `18년 중국의 경제성장률은 6.6%로 1990년이후 28년만에 최저수준을 기록하였고, 세계은행(WB)은 `19년 중국의 경제성장률 전망을 6.2%로 하향조정함에 따라 경기둔화 우려가 심화되는 상황임. 미 연방정부의 셧다운도 사상 최대기간을 넘어서면서 금융시장 불확실성 확대로 위험자산 투자수요가 위축됨. 다만, 1월4주차 국제유가(WTI)가 배럴당 53.69달러로 전주대비 3.1% 상승하였고, 니켈은 2월부터 시작되는 중국의 전기차 관련 보조금 정책변화로 고품위 니켈수요 확대가 기대되는 가운데 메이저 감산소식이 전해지면서 상승압력이 발생함. BHP사와 Anglo American사의 `18년 니켈 광산생산은 각각 전년대비 5%, 3.2% 감소함. 이와는 반대로 전기동은 메이저 Antofagasta, Anglo American사의 `18년 4분기 동 광산생산이 각각 전년동기대비 23.7%, 23.5% 증가함에 따라 공급확대 우려가 하락요인으로 작용한 것으로 분석",201901
유연탄,"중국의 석탄 증산에 따른 하향세 중국의 `18년 12월 석탄생산량이 전년동월대비 2.1% 증가한 3억2,038만톤을 기록하면서 3년내 월간 최대치를 경신함에 따라 하방압력이 발생함. `18년 연간 생산량도 전년대비 5.2% 증가한 35.5억톤으로 `15년 이후 최대치를 경신함. 최근 환경규제로 중소형 석탄광을 퇴출시키는 대신 대형 신규 프로젝트를 허가(`18년 66.4억달러 규모)한 것이 전반적인 석탄 증산으로 나타남",201901
철광석,"중국 정부의 경기부양책 기대감에 따른 소폭 상승세 중국 춘절연휴를 앞두고 재고비축 수요는 둔화되었으나, 유가상승 및 향후 중국의 경기부양책 기대감이 높아지면서 전주대비 0.7% 소폭 상승세를 나타냄",201901
우라늄,"박스권횡보에 따라 전주대비 보합세 우라늄 가격은 작년 11월이후 파운드당 28~29달러 수준에서 박스권 횡보중이며, 전주대비 0.3% 소폭 상승함",201901
"동,니켈,아연","미연준 금리인상 속도조절 전망에 따른 상승세 독일, 영국 등 주요 유럽국가의 경기실적 부진에도 불구하고, 미연준의 금리인상 속도조절 가능성이 제기되었고, 미국과 중국의 무역리스크가 점차 완화되면서 비철금속 상승압력이 발생함. 미연준은 자산축소계획의 변경가능성을 시사하는 등 금리인상 속도감축 이슈가 부각됨. 다만, 미달러가치와 국제유가는 상기 상승압력을 제약하는 방향으로 작용함. 2월1주차 미달러인덱스는 96.29로 전주대비 0.7% 상승했으며, 같은기간 국제유가(WTI)는 배럴당 52.72달러로 전주대비 4.6% 하락함. 전기동은 칠레 Codelco사의 `18년 동 생산량이 평균품위 저하 문제로 전년대비 1.9% 감소한 180만톤을 기록하며 상승압력이 심화됨. 니켈은 주중 톤당 13,000달러를 돌파하는 모습을 보이는 등 시장강세를 나타냄. 중국의 전기차 배터리용 고품위 니켈수요 증가 및 SLN사의 뉴칼레도니아 Tiebaghi등 3개광산의 노조파업 지속으로 상승압력이 발생함",201902
유연탄,"중국의 석탄 증산에 따른 하향세 중국 주요 석탄업체의 증산에 따라 하방압력이 발생함. 중국 최대의 석탄 생산업체인 Shenhua Energy사의 `18년 석탄생산량이 2억9,660만톤으로 전년대비 0.4% 증가했으며, 2위업체인 China Coal Energy사의 석탄생산량은 7,713만톤으로 전년대비 2.1% 증가함. 이에따라 인도네시아의 `19년 2월 HBA 연료탄 벤치마크 지수도 전월대비 0.7%, 전년동월대비 8.8% 하향책정 고시됨",201902
철광석,"Vale사 10% 감산 발표에 따른 상승세 메이저 Vale사가 브라질 광미댐 붕괴사태로 인해 향후 3년간 13억달러를 투자해 가동중인 광미댐들을 폐쇄하기로 발표하면서 공급차질 이슈에 따른 상승압력이 발생함. 이에따라 Vale사의 `19년 생산목표인 4억톤의 10%인 철광석 4천만톤과 펠렛 1,100만톤의 생산감소가 나타날 것이라고 CEO가 언급함",201902
우라늄,"박스권횡보에 따라 전주대비 보합세 우라늄 가격은 작년 11월이후 파운드당 28~29달러 수준에서 박스권 횡보중이며, 전주대비 0.07% 소폭 상승함",201902
"동,니켈,아연","지정학적 리스크 발생 및 미달러가치 상승에 따른 하향세 미·중 무역협상 가능성이 고조되었으나, 미국 군함의 남중국해 항행 등 지정학적 리스크가 심화되었고 미달러가치가 상승하면서 비철금속 등 위험자산 투자수요 위축에 따른 하방압력이 발생함. 2월2주차 미달러인덱스는 96.96으로 전주대비 0.7% 상승함. 다만, 1월 OPEC 원유생산 감소 및 베네수엘라 정정불안 등으로 국제유가가 반등했고, 개별 공급이슈가 부상함에 따라 상기 하방리스크가 부분 상쇄되는 것으로 분석. 2월2주차 국제유가(WTI)는 배럴당 55.59달러로 전주대비 5.4%의 높은 상승률을 기록함. 전기동은 칠레, 페루지역에 기록적인 폭우가 내리면서 공급이슈가 부상했는데, 칠레 Ministro Hales, El Abra광산, 페루 Cuajone 선광 플랜트, Toquepala광산 등이 임시 가동중단됨. 또한 LME 전기동 재고량이 출하예정량을 제외할 경우 13년내 최저수준에 근접하는 점도 상승요인으로 내재중인 상황임. 니켈도 LME 재고량이 주중에 20만톤을 하회하는 등 `13년이후 최저수준에 근접하면서 상기 하방리스크를 일부 상쇄함",201902
유연탄,"중국의 석탄 증산기조에 따른 하향세 국제유가가 반등하고, 중국의 연료탄 수입제한이 해제되면서 1월 석탄 수입량이 3,350만톤으로 전월대비 227%, 전년동월대비 20.5%로 크게 증가하였으나, 중국의 석탄 증산기조에 따른 가격하향추세는 지속되면서 연료탄 가격은 전주대비 6.2%로 크게 하락함",201902
철광석,메이저 감산전망 및 계절적 수요 증대에 따른 상승세 메이저 Vale사의 브라질 광미댐 붕괴사태 여파로 금년 10% 생산감소 전망 및 중국 춘절연휴 이후 건설활동 성수기를 대비한 재고비축 수요 증가로 인해 철광석 가격상승압력이 발생함,201902
우라늄,"박스권횡보에 따라 전주대비 소폭 하락 우라늄 가격은 작년 11월이후 파운드당 28~29달러 수준에서 박스권 횡보중이며, 전주대비 0.6% 소폭 하락함",201902
"동,니켈,아연","미달러가치 하락 및 미·중 무역긴장 완화에 따른 상승세 1월 미국 연방공개시장위원회(FOMC)의 회의록에 금리인상 중단에 따른 위험이 없다는 언급이 공개되면서 미달러가치가 하락하였고, 미·중 무역협상 진전으로 위험자산 투자수요가 회복되면서 상승압력이 발생함. 2월3주차 미달러인덱스는 96.59로 전주대비 0.4% 하락하였고, 같은기간 국제유가(WTI)도 배럴당 57.26달러로 전주대비 3% 상승함. 전기동은 공급이슈로 상승압력이 심화되었는데 Freeport-McMoRan사의 인도네시아 Grasberg 광산의 정광수출 허가갱신이 지연되면서 2월15일부로 허가기간이 만료됨에 따라 수출차질이 불가피한 상황임. 또한 인도 대법원의 판결로 Tuticorin제련소(연간 40만톤급)의 재가동이 어려워졌는데 제련소 가동중단 이후인 작년 6월부터 12월까지 인도의 전기동 생산은 전년동기대비 51.2% 감소함. 전기동과 니켈은 상기 경제조건 개선과 공급부족 펀더멘털에 따라 상승압력이 심화되고 있으며, 가격수준은 각각 작년 7월, 9월 이래 최고가격을 경신함",201902
유연탄,"중국의 호주산 석탄수입 지연에 따른 하향세 국제유가 상승에도 불구하고, 중국의 호주산 석탄수입 지연으로 연료탄 가격은 하락세를 유지하면서 `17년 7월 이후 최저가격을 경신함. 중국 일부 남부 항구에서 호주산 연료탄 수입에 대한 승인업무가 지체되고 있다고 전해짐. 다만, 메이저 Glencore사가 기후변화에 대응하기 위해 `20년까지 연간 석탄생산량을 1억5천만톤으로 제한할 것으로 발표하면서 공급차질 전망으로 상기 상승압력이 상쇄됨",201902
철광석,"중국의 환경규제에 따른 재고비축 수요둔화로 하향세 중국의 대기오염에 따른 소결공정 제한으로 철광석 재고비축 수요가 둔화됨에 따라 하방압력이 발생함. 그러나 브라질 광산규제 기관인 ANM은 Vale사의 Fabrica, Vargem Grande 등 2개광산을 가동 중단시키면서 공급차질 우려로 상기 하방압력이 부분상쇄됨",201902
우라늄,"박스권횡보에 따라 전주대비 소폭 하락 우라늄 가격은 작년 11월이후 파운드당 28~29달러 수준에서 횡보중이며, 전주대비 0.6% 소폭 하락",201902
"동,니켈,아연","미·중 무역협상 기대감 및 미달러가치 하락에 따른 상승세 미·중 무역협상 진전과 미달러가치의 하락으로 비철금속 가격상승압력이 발생함. 향후 미·중 정상회담에서 무역합의 최종안을 준비한다는 소식으로 기대감이 높아지는 상황이며, 2월4주차 미달러인덱스는 96.24로 전주대비 0.4% 하락함. 다만, 같은기간 국제유가(WTI)는 배럴당 55.8달러로 전주대비 2.5% 하락하며 상기 상승압력을 일부 제한함. 전기동은 공급이슈로 상승압력이 심화되었는데 인니 Grasberg의 정광수출 허가갱신이 지연되는 가운데 노천광산 폐쇄로 감산이 예상되는 상황임. 또한 페루 Las Bambas광산의 인근주민이 항구로 가는 도로를 봉쇄함에 따라 수출차질이 빚어지고 있으며, 잠비아 Chambishi제련소의 가동중단으로 공급차질이 불가피할 전망임. 2월말기준 LME 동 재고량은 128,475톤으로 전월말대비 13.9% 감소하면서 타이트한 수급상황을 반영함. 같은기간 니켈도 LME 재고량이 196,932톤으로 전월말대비 2.5% 감소하면서 작년 8월말이후 최고가격을 경신하며 톤당 13,000달러를 돌파함",201903
유연탄,"중국의 석탄수입 증가에 따른 상승세 중국의 석탄수입량 증가 및 메이저 Glencore사의 생산목표 동결 등으로 연료탄 가격상승세가 나타남. 1월 중국의 연료탄 수입량은 2,518만톤으로 전월대비 273%, 전년동월대비 15%로 크게 증가함. 작년 12월 중국정부가 해상교역 연료탄 수입을 금지를 했었는데, 1월부터 수입이 허용되면서 기저효과가 발생한 것으로 분석",201903
철광석,"브라질의 2월 철광석 수출증가에 따른 하향세 브라질의 2월 철광석 일일 평균 수출량이 140만톤으로 전년동월대비 7.8% 증가함에 따라 공급확대로 인한 하방압력이 발생함. 다만, 브라질 정부는 광미댐 붕괴사태 이후 업스트림 공법을 사용한 광미댐들을 해체할 계획이며, Wood Mackenzie사는 Vale사의 감산규모를 5천만톤으로 예상함에 따라 점차 수급이 타이트해질 전망",201903
우라늄,"박스권횡보에 따라 전주대비 하락 우라늄 가격은 작년 11월이후 파운드당 20달러 후반대 수준에서 횡보중이며, 전주대비 2.8% 하락함",201903
"동,니켈,아연","중국 경기지표 부진 및 달러가치 인상에 따른 하향세 미·중 무역협상이 뚜렷한 성과를 거두지 못한 가운데 중국의 경기둔화세가 나타남에 따라 비철금속 하방압력이 발생함. 중국의 전인대에서 금년 경제성장률 목표치는 6~6.5% 범위로 하향조정 되었으며, 2월 중국의 수입액도 전년동월대비 5.2% 감소한 것으로 나타남. 또한 3월1주차 미달러인덱스는 97.09로 전주대비 0.9% 상승함에 따라 가격하락요인으로 작용함. 한편 전기동은 중국의 2월 비가공 구리 및 반제품 수입량이 전년동월대비 11.6% 급감함에 따라 하방압력이 심화됨. 다만, 인니 Grasberg광산의 노천광산 폐쇄 및 정광수출허가 갱신이 지연되고 있고, 칠레 Chuquicamata 제련소의 재가동이 당초 3월에서 4월로 연기되면서 공급차질이 예상되며, LME 전기동 재고량이 3월1주차 119천톤으로 전주대비 8.5% 줄어들며 4주연속 감소세를 나타내면서 상승요인이 내재중인 상황임. 니켈은 파푸아뉴기니 Ramu 광산(`17년 35천톤 생산)의 광업권 갱신이 지연되면서 공급차질이 발생중이며, 3월1주차 LME재고량도 196천톤으로 2주연속 감소함에 따라 톤당 13,000달러를 돌파하며 가격상승세를 유지함",201903
유연탄,"중국 일부 석탄광 가동중단에 따른 상승세 중국 최대 광산인 Yinmin광산 안전사고 발생후 내몽고, 섬서성 등에서 안전규제 강화로 인해 가동중단되는 광산이 증가함에 따라 연료탄 가격은 전주대비 3.1% 상승함. 다만, 중국의 국가발전개혁위(NDRC)는 전인대에서 석탄 공급확대 및 가격안정화 방안을 논의하면서 상기 상승압력이 일부 상쇄됨",201903
철광석,메이저 감산전망 및 계절성 수요증가에 따른 상승세 메이저 Vale사의 광미댐 붕괴사고 이후 감산정책 추진과 중국의 건설시즌 도래로 철강재 수요증가에 따른 철광석 재고비축 수요기대로 상승압력이 발생함,201903
우라늄,"박스권횡보에 따라 전주대비 상승 우라늄 가격은 작년 11월이후 파운드당 20달러 후반대 수준에서 횡보중이며, 전주대비 0.8% 상승함",201903
"동,니켈,아연","중국 산업생산 부진에 따른 하향세 미·중 무역협상이 연기될 가능성이 높아지는 가운데 중국의 산업생산 등 경기지표가 부진한 모습을 보이면서 비철금속 하방압력이 발생함. 금년 1~2월 중국의 산업생산 증가율은 전년동기대비 5.3%로 시장전망치인 5.5%를 하회하였고, `02년초 이래 최저치를 경신할 정도로 경기지표가 악화됨. 또한 중국의 자동차 생산이 2월까지 8개월 연속 전년동월대비 하락하는 등 미·중 무역갈등 여파가 지속되는 상황임. 다만, 전기동은 인도네시아, 칠레 등 주요국 공급이슈 부상으로 상기 하방압력이 부분 상쇄됨. 인니 Grasberg광산의 갱내채굴 전환 및 정광수출 허가 갱신지연으로 공급이 차질을 빚고 있으며, 칠레의 Chuquicamata 등 대형 제련소의 환경규제에 따른 개보수 작업이 예상보다 지연됨에 따라 정련동 생산차질이 불가피할 전망임. 니켈은 연초 가격상승에 따른 중국의 니켈선철 생산증대 및 중국의 경기지표 부진으로 하방압력이 우세하였음. 다만, 중국의 1~2월 전기차 생산량이 전년동기대비 53.3% 증가하였고, LME 재고량이 감소세를 유지함에 따라 상기 하방압력이 부분 상쇄되는 상황임",201903
유연탄,"중국 북부지역 광산 생산재개에 따른 하향세 3월2주차 국제유가가 배럴당 58.52달러로 전주대비 4.4% 증가하였으나, 연료탄 가격은 중국 정부의 증산유도 및 북부지역 석탄광들의 안전검사 종료후 생산재개로 하방압력이 발생하며 전주대비 3.7% 하락함",201903
철광석,"중국 산업생산 부진 및 전인대 기간 건설사업 중단에 따른 하향세 최근 중국의 산업생산 지표가 악화된 가운데 전인대 기간 허베이성 탕산시는 소결공정 제한조치를 무기한 연장하였고, 우안시도 3월 한달동안 중공업 생산을 제한하는 등 건설사업 중단조치에 따라 수요둔화로 하방압력이 발생함",201903
우라늄,"박스권횡보에 따라 전주대비 하락 우라늄 가격은 작년 11월이후 파운드당 20달러 후반대 수준에서 횡보중이며, 전주대비 1.1% 하락함",201903
"동,니켈,아연","미연준 금리동결 및 공급이슈에 따른 소폭 상승세 미·중 무역협상이 지연되는 가운데 브렉시트 관련 리스크가 상승했으나, 미연준의 금리동결 결정과 광종별 공급이슈 부상으로 비철금속 가격상승세가 나타남. 미국 FOMC는 기준금리를 2.25~2.50%로 동결하기로 결정하였고, 금년 금리인상 속도는 크게 둔화될 전망이어서 위험자산에 대한 투자수요가 회복되는 상황임. 이에따라 3월3주차 미달러인덱스는 96.34로 전주대비 0.3% 하락하였고, 같은기간 국제유가도 배럴당 59.04달러로 전주대비 0.9% 상승하며 가격 상승요인으로 작용함. 전기동은 페루 Las Bambas광산의 수송도로가 인근주민 소요로 봉쇄된지 40일이 경과되었고, 항구 재고량이 소진되면서 수출차질이 불가피해 보이며, 칠레 Chuquicamata광산의 재가동도 3월에서 5월로 재차 연기되면서 공급차질을 유발할 전망임. 또한 칠레 Sierra Gorda 광산노조의 파업가능성도 부상하고 있음. 니켈은 필리핀 Nickel Asia사가 자사의 금년 니켈 수출량이 지난해 수준에 그칠 것으로 전망하는 등 환경규제 정책 지속으로 공급둔화가 예상되는 상황임",201903
유연탄,"중국 정부의 증산유도 및 호주산 석탄수입 지연에 따른 하향세 국제유가 상승에도 불구, 연료탄 가격은 중국 정부의 증산유도 및 호주산 석탄수입에 대한 통관 지연효과로 수요가 둔화되면서 전주대비 5.1%로 크게 하락함",201903
철광석,"Vale사, 브라질 광산 공급차질 소식에 따른 상승세 1월 브라질 광미댐 붕괴사태 이후 Vale사의 Alegria광산과 DiqueⅢ콤플렉스가 안전성 문제로 가동중단됨에 따라 공급이슈가 발생하면서 철광석 가격상승압력이 발생함",201903
우라늄,"박스권횡보에 따라 전주대비 하락 우라늄 가격은 작년 11월이후 파운드당 20달러 후반대 수준에서 횡보중이며, 전주대비 4.3% 하락함",201903
"동,니켈,아연","브렉시트 및 미국발 경기둔화 우려에 따른 하향세 브렉시트 리스크가 심화되는 가운데 미국의 장단기 금리가 역전되면서 경기침체 우려가 부각됨에 따라 비철금속 하방압력이 발생함. 미국의 장단기 국채수익률역전현상은 `07년이후 처음 발생하는 것이며, 이에따라 금년 미국의 금리인하 가능성까지 제기되는 상황임. 한편 3월4주차 미달러인덱스는 96.90으로 전주대비 0.6% 상승하며 가격하락요인으로 작용함. 전기동은 공급이슈가 지속되면서 상기 하방리스크가 부분 상쇄되고 있음. 페루 Las Bambas 광산의 정광 수송도로가 인근주민 소요로 7주이상 봉쇄되었고, 항구 재고량 소진으로 운영사인 MMG사는 정광 공급계약에 대해 불가항력을 선언함. 또한 칠레 Chuquicamata 제련소의 재가동도 당초 3월에서 5월로 연기되며 공급차질이 불가피한 상황임. 니켈은 LME 재고량이 한달이상 지속적으로 감소하면서 3월말기준 183천톤을 기록함에 따라 상기 하방압력이 부분 상쇄됨",201904
유연탄,"중국의 석탄 생산능력 증가에 따른 하향세 국제유가 상승에도 불구, 중국의 석탄 생산능력 증가로 연료탄 가격은 하락세를 나타냄. 3월4주차 국제유가(WTI)는 배럴당 60.14로 전주대비 1.9% 상승하였으나, `18년 중국의 석탄 생산능력이 35억3천만톤으로 전년대비 1억9천만톤 증가하였고, 금년에만 7개의 신규 프로젝트가 승인되는 등 공급확대 우려로 하방압력이 심화됨",201904
철광석,"중국 주요항구 재고량 증가에 따른 하향세 메이저 Vale사의 공급차질 전망에도 불구, 중국의 주요항구 철광석 재고량이 1억4,789만톤으로 작년 8월말 이후 최고수준을 기록하는 등 증가세를 보이면서하방압력 발생",201904
우라늄,"일본 원전재가동 정책부진에 따른 하향세 우라늄 가격은 작년 11월이후 파운드당 20달러 후반대 수준에서 횡보하였으나, 일본 원전재가동 정책난항으로 3주 연속 가격이 하락하여 파운드당 25달러선까지 낮아짐",201904
"동,니켈,아연","중국 제조업경기 상승기대 및 공급충격에 따른 상승세 브렉시트 리스크 및 미·중 무역리스크가 지속되고 있으나, 중국의 3월 제조업 PMI가 50.5로 작년 9월이후 최고치를 경신하면서 제조업 경기회복에 대한 기대감으로 비철금속 상승압력이 발생함. 또한 국제유가(WTI)는 OPEC 감산정책으로 상승추세를 이어가면서 4월1주차 평균가격이 배럴당 63.08달러로 전주대비 4.9% 상승하며 원자재 가격상승을 주도하는 상황임. 다만, 같은기간 미달러인덱스는 97.27로 전주대비 0.4% 상승하면서 상기 상승압력을 부분상쇄함. 전기동은 페루 Las Bambas의 도로봉쇄 사태가 해소되지 못하면서 페루정부가 비상사태를 선포하였고, 인도네시아 Grasberg광산에서 지하광구 토사유입으로 근로자 2명이 실종되면서 가동중단 가능성이 제기됨에 따라 공급이슈가 발생함. 니켈은 파푸아뉴기니의 Ramu광산 확장프로젝트가 지역주민의 반발로 재검토 입장이 표명되면서 공급차질이 불가피할 전망임. 니켈가격은 4월이후 톤당 13,000달러선을 상회하며 변동성을 좁히며 박스권횡보를 나타냄",201904
유연탄,"중국의 석탄 증산기조에 따른 하향세(7거래일 연속 하락중) 국제유가 상승에도 불구, 중국의 석탄 증산기조로 공급확대 우려가 심화되면서 연료탄 가격은 7거래일 연속 하락하며 전주대비 10.4% 떨어진 톤당 75.18달러를 기록함",201904
철광석,"브라질과 호주의 철광석 공급차질에 따른 상승세 메이저 Vale사의 1월 브라질 철광산 광미댐 붕괴사태 이후 3월 브라질의 철광석 수출량이 2,219만톤으로 전월대비 23%, 전년동월대비 26% 감소했으며, 호주 Pilbara지역 철광석 대형항구에 사이클론 피해가 발생함에 따라 메이저 Rio Tinto사가 수출계약 불가항력을 선언하는 등 공급충격 발생으로 가격상승세가 나타남",201904
우라늄,박스권횡보에 따른 소폭 상승세 우라늄 가격은 파운드당 25달러 중반대에서 박스권횡보중이며 전주대비 1% 상승함,201904
"동,니켈,아연","미·중 무역리스크 지속 및 EU 경제성장 둔화전망으로 보합세 미·중 무역리스크가 지속되는 가운데 브렉시트 불안에 따라 IMF가 EU의 경제성장률 전망치를 0.3%p 하향조정 하는 등 경기둔화 우려로 인해 비철금속 가격이 공급불안에도 불구하고 보합권을 형성함. 다만, 중국의 3월 수출량이 전년동기대비 14.2%나 증가하면서 5개월내 최대치를 경신하였고, 미달러가치와 국제유가도 가격상승요인으로 작용함에 따라 상기 하방리스크가 상쇄되는 상황임. 4월2주차 미달러인덱스는 97.01로 전주대비 0.3% 하락하였으며, 같은기간 국제유가(WTI)도 OPEC 감산기대에 따라 배럴당 63.89달러로 전주대비 1.3% 상승함. 전기동은 페루 Las Bambas광산의 정광수송 도로봉쇄 사태가 지속되는 가운데 칠레의 1~2월 구리생산이 전년동기대비 6.2% 감소한 것으로 나타나면서 공급차질 우려가 심화됨. 니켈은 LME재고량이 지속적으로 감소하고 있는데, 4월12일기준 재고량이 178,866톤으로 연초의 206,400톤 대비 13.3% 감소함에 따라 가격상승요인이 내재된 상황임. 특히 업계는 중국 Tsingshan Group의 인도네시아의 황산니켈 생산 프로젝트(`20년말까지 연간 13만톤 생산목표)의 성공여부가 수급펀더멘털을 좌우할 것으로 예상하고 있음",201904
유연탄,급격한 하락세 이후 유가상승에 따른 가격상승세 중국의 석탄 증산기조로 4월초까지 이어졌던 연료탄 가격하락세가 국제유가의 상승세에 힘입어 가격조정 국면에 돌입하면서 전주대비 6.2% 상승한 톤당 79.87달러를 기록함,201904
철광석,브라질과 호주의 공급충격 및 중국의 계절성 수요증가에 따른 상승세 브라질 철광석 수출감소 및 호주 대형항구의 사이클론 피해 등으로 공급쇼크가 발생한 가운데 중국의 계절성 건설수요 회복으로 철강재 소비확대가 예상됨에 따라 상승압력이 발생함,201904
우라늄,박스권횡보에 따른 소폭 상승세 우라늄 가격은 파운드당 25달러 중반대에서 박스권횡보중이며 전주대비 0.9% 상승함,201904
"동,니켈,아연","미달러가치 상승 및 유로 경기지표 악화에 따른 하향세 미·중 무역리스크가 지속되는 가운데 중국의 1분기 경제성장률이 6.4%로 시장전망치를 상회하며 개선되었으나, 미달러가치 상승과 유로의 경기지표 악화 여파로 비철금속 하방압력이 발생함. 4월3주차 미달러인덱스는 97.19로 전주대비 0.2% 상승하였으며, 유로의 구매관리지수(PMI)는 51.3으로 전월 및 시장전망치를 모두 하회하였음. 또한 골드만삭스 등 주요 투자은행들의 원자재 사업부에 대한 구조조정 소식이 전해지면서 투자수요 악화에 대한 우려도 가격하락요인으로 작용함. 전기동은 Las Bambas 정광수송 도로의 봉쇄사태가 주민과의 합의로 해소되면서 생산정상화가 기대되나, 인니 Grasberg광산의 갱내채굴 전환에 따른 생산차질로 1분기 생산량이 전년동기대비 14.4% 감소하면서 공급이슈 지속에 따른 상승압력이 발생함. 니켈은 인니의 1~2월 니켈원광 수출량이 전년동기대비 38.8% 증가하면서 공급확대에 따른 하방리스크가 발생함. 다만, LME 니켈재고량이 지속적으로 감소하고 있는데, 4월18일기준 176천톤으로 연초대비 14.6% 감소하며 상기 하방압력을 부분 상쇄하는 것으로 분석",201904
유연탄,"국제유가 회복 및 인도의 수입수요 증가에 따른 상승세 연료탄은 중국의 증산기조로 4월초까지 하향추세를 나타냈으나, 이후 국제유가 회복과 인도의 수입수요 증가로 가격상승세가 나타남. 4월3주차 국제유가(WTI)는 배럴당 64달러로 전주대비 0.2% 상승했으며, 인도의 3월 석탄수입량은 634만톤으로 전년동월대비 44% 증가함",201904
철광석,브라질과 호주의 공급차질 이슈 완화에 따른 하향세 메이저 Vale사의 브라질 Brucutu(생산능력 연간 3천만톤)광산의 생산재개 가능성 및 호주의 Veronica 사이클론 피해복구 완료에 따른 수출확대 전망으로 가격하방압력이 발생,201904
우라늄,박스권횡보에 따른 소폭 상승세 우라늄 가격은 파운드당 25달러 중반대에서 박스권횡보중이며 전주대비 0.2% 상승함,201904
"동,니켈,아연","미달러가치 상승 및 유가하락에 따른 하향세 미달러가치 상승 및 국제유가 하락으로 비철금속 하방압력이 발생함. 4월4주차 미달러인덱스는 97.87로 전주대비 0.7% 상승했으며, 같은기간 국제유가(WTI)는 배럴당 63.3달러로 7주연속 상승세를 멈추고 전주대비 1.1% 하락함에 따라 원자재 투자수요 위축에 따른 하락요인으로 작용함. 한편 전기동은 메이저 Freeport McMoRan사의 1분기 동 생산량이 인니 Grasberg광산 갱내채굴 전환으로 전년동기대비 21.9% 감소함에 따라 공급차질이 발생하고 있으며, 페루 Las Bambas광산의 정광수송 도로에 대한 주민들의 재봉쇄 가능성도 제기되면서 공급이슈 부각으로 상기 하방압력이 일부 상쇄된 것으로 분석. 니켈은 LME 재고량이 계속해서 감소하고 있는데, 4월26일기준 174천톤으로 연초대비 15.5% 감소하며 타이트한 수급상황을 나타내고 있어 가격상승요인이 내재된 상황임",201904
